date,site,plot_code,subplot_code,x,y,number,species,sample_id,identified_by,height,dbh,measured_by,notes,flag,growth_form,foliar_habit,compoundness
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,28,Paullinia_bracteosa,1,OV,10,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,30,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,36,Paullinia_bracteosa,1,OV,10,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,4,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,5,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,15,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,26,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,39,Zygia_sp,2,OV,10,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,48,Paullinia_bracteosa,1,OV,10,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,9,Lonchocarpus_rugosus,NA,AG,10,NA,AG,NA,NA,Tree,Brevi-deciduous,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,10,Psidium_sartorianum,NA,AG,10,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,41,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,46,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,47,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,63,Paullinia_bracteosa,1,OV,11,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,73,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,74,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,75,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,79,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,81,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,82,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,86,Paullinia_bracteosa,1,OV,11,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,20,Coccoloba_cozumelensis,NA,OV,11,NA,OV,NA,NA,Tree/shrub,Deciduous,Simple
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,6,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_2J,INT,2J,9,1,12,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,21,Zygia_sp,2,OV,11,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,1,Leucaena_leucocephala,NA,OV,11,NA,AG,NA,NA,Tree/shrub,Evergreen,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,8,Zygia_sp,2,OV,11,NA,AG,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,25,Psidium_sartorianum,NA,AG,11,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,29,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,33,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,35,Manilkara_zapota,NA,OV,12,NA,OV,NA,NA,Tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,52,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,67,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,68,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,70,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,77,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,84,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_10J,INT,10J,8,10,7,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_10J,INT,10J,8,10,8,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,3,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,4,Paullinia_bracteosa,1,OV,12,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,13,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_8J,INT,8J,6,1,40,Psidium_sartorianum,NA,OV,12,NA,OV,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_6J,INT,6J,9,10,2,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_4J,INT,4J,1,9,4,Paullinia_bracteosa,1,OV,12,NA,OV,NA,NA,Liana,Evergreen,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,30,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_NE,INT,NE,0,0,40,Zygia_sp,2,OV,12,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_1I,INT,1I,7,1,5,Eugenia_capuli,9,OV,12,NA,AG,NA,NA,Tree,Brevi-deciduous,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,38,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,40,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,44,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,50,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,53,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,55,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,57,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,58,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,61,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,65,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,69,Pouteria_amygdalina,NA,OV,13,NA,OV,NA,NA,Tree,Evergreen,Simple
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,71,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,78,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
2022-03-23T00:00:00Z,INT_SE,INT,SE,0,0,83,Zygia_sp,2,OV,13,NA,OV,NA,NA,Tree,Unknown,Compound
